Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1101,台泥,12935083.0,434932495.0,33.25,33.8,33.25,33.8,0.5,4911.0
1102,亞泥,6429292.0,277809206.0,43.15,43.5,42.85,43.5,0.6,3486.0
1103,嘉泥,226329.0,4076725.0,17.95,18.1,17.8,18.1,0.2,262.0
1104,環泥,331916.0,9755156.0,29.3,29.5,29.25,29.4,0.2,323.0
1108,幸福,135107.0,1959149.0,14.5,14.55,14.45,14.5,0.0,72.0
1109,信大,147864.0,2731537.0,18.4,18.55,18.4,18.55,0.15,107.0
1110,東泥,158186.0,3363871.0,21.2,21.5,21.15,21.35,0.2,113.0
1201,味全,217311.0,3974492.0,18.35,18.35,18.2,18.3,0.05,172.0
1203,味王,18401.0,787488.0,42.9,42.9,42.3,42.8,0.55,45.0
1210,大成,1139114.0,61032847.0,53.8,54.0,53.3,53.7,0.0,1254.0
1215,卜蜂,332644.0,33199507.0,100.0,100.0,99.2,100.0,0.4,436.0
1216,統一,5606145.0,481592337.0,85.1,86.2,85.1,86.1,0.5,3033.0
1218,泰山,473402.0,9952838.0,21.0,21.15,20.95,21.0,0.0,330.0
1225,福懋油,22321.0,1781023.0,81.0,81.0,79.1,80.0,0.6,106.0
1227,佳格,312750.0,11775992.0,37.55,37.75,37.5,37.75,0.25,344.0
1229,聯華,740951.0,43060676.0,58.2,58.6,57.9,58.6,0.6,1016.0
1231,聯華食,188252.0,22586103.0,120.0,120.5,119.0,120.5,1.0,398.0
1232,大統益,35471.0,5183566.0,146.0,146.5,145.5,145.5,0.0,104.0
1234,黑松,31892.0,1329764.0,41.6,42.0,41.6,41.75,0.1,51.0
1235,興泰,26195.0,3591396.0,143.5,143.5,134.0,134.5,-12.5,39.0
1256,鮮活果汁-KY,6225.0,838867.0,135.0,135.0,134.0,134.0,0.5,41.0
1301,台塑,14288946.0,593885805.0,41.5,42.0,41.25,41.8,0.6,8575.0
1303,南亞,8758822.0,344913827.0,39.25,39.75,38.95,39.65,0.6,5011.0
1304,台聚,993292.0,12797817.0,12.75,13.0,12.75,12.95,0.15,818.0
1305,華夏,957649.0,12926247.0,13.5,13.6,13.4,13.5,0.1,558.0
1307,三芳,1092967.0,43026082.0,39.35,39.8,39.0,39.3,0.15,874.0
1308,亞聚,1112425.0,17818883.0,15.8,16.2,15.8,16.2,0.5,867.0
1309,台達化,604924.0,9682014.0,16.15,16.25,15.75,16.0,0.0,467.0
1310,台苯,277032.0,3153072.0,11.4,11.5,11.35,11.35,-0.05,344.0
1312,國喬,2113860.0,24274905.0,11.45,11.65,11.4,11.5,0.1,838.0
1313,聯成,630110.0,6750570.0,10.65,10.8,10.6,10.75,0.15,505.0
1314,中石化,8376311.0,67990028.0,8.1,8.17,8.06,8.13,0.09,2594.0
1315,達新,20069.0,1416327.0,71.1,71.1,70.5,70.9,0.4,28.0
1319,東陽,4312547.0,507153488.0,119.5,119.5,115.5,117.0,-1.0,3488.0
1321,大洋,220253.0,7270033.0,33.1,33.35,32.9,32.9,-0.05,147.0
1326,台化,12701939.0,436595420.0,33.95,34.85,33.95,34.65,0.95,5163.0
1342,八貫,101487.0,10289871.0,102.5,102.5,100.5,100.5,-1.0,118.0
1402,遠東新,13038445.0,443420322.0,34.2,34.45,33.7,34.05,-0.1,4913.0
1409,新纖,2128890.0,33866882.0,15.9,16.0,15.8,15.95,0.05,647.0
1419,新紡,11371.0,527817.0,46.35,46.65,46.0,46.6,0.2,16.0
1434,福懋,1158023.0,23359802.0,20.1,20.35,20.05,20.35,0.35,751.0
1435,中福,2043.0,84887.0,42.1,42.1,41.0,41.0,0.0,37.0
1436,華友聯,238801.0,29792730.0,127.5,127.5,123.5,124.5,-1.5,623.0
1437,勤益控,28997.0,995991.0,34.35,34.4,34.3,34.3,-0.05,63.0
1440,南紡,798275.0,12204499.0,15.15,15.35,15.15,15.3,0.15,421.0
1442,名軒,2419083.0,196376021.0,81.3,81.7,80.5,81.7,0.5,1675.0
1444,力麗,350959.0,3222038.0,9.21,9.23,9.16,9.19,0.03,224.0
1446,宏和,2814353.0,156593026.0,53.8,57.1,53.6,56.5,2.7,1927.0
1447,力鵬,511527.0,3968123.0,7.73,7.79,7.73,7.75,0.02,414.0
1455,集盛,401798.0,4039440.0,10.05,10.15,10.0,10.05,0.05,171.0
1457,宜進,52088.0,1026848.0,19.85,19.85,19.6,19.75,0.1,90.0
1476,儒鴻,453146.0,246548933.0,545.0,550.0,539.0,546.0,2.0,624.0
1477,聚陽,954901.0,310778172.0,321.0,328.5,321.0,324.5,2.0,2061.0
1503,士電,1407430.0,288161557.0,200.5,208.0,200.5,205.5,6.0,3279.0
1504,東元,9206079.0,492182399.0,53.8,54.2,52.5,52.5,-0.9,6525.0
1513,中興電,3594466.0,577562404.0,158.5,163.0,158.5,160.5,3.0,3057.0
1514,亞力,2408693.0,273679153.0,112.5,115.5,111.5,113.0,3.0,2266.0
1515,力山,290635.0,9260846.0,31.35,32.0,31.35,31.9,0.8,225.0
1519,華城,4651050.0,2710856842.0,572.0,595.0,568.0,590.0,24.0,6448.0
1522,堤維西,4760768.0,308248486.0,65.0,65.5,63.8,65.5,0.9,3502.0
1532,勤美,1751515.0,58868236.0,33.85,34.05,33.3,33.35,-0.25,960.0
1535,中宇,79529.0,4963657.0,61.5,62.8,61.5,62.7,1.3,127.0
1536,和大,14373051.0,956477831.0,65.8,68.4,65.5,66.0,-0.2,9185.0
1537,廣隆,507624.0,81019437.0,160.0,162.0,158.0,158.5,0.5,720.0
1558,伸興,40288.0,4191088.0,103.5,104.5,103.5,104.5,1.5,71.0
1560,中砂,2267270.0,695214639.0,304.5,310.5,303.0,303.0,3.5,3310.0
1563,巧新,590320.0,35249609.0,59.3,60.3,58.9,60.0,1.0,538.0
1582,信錦,602912.0,56039732.0,92.7,93.6,92.3,92.7,0.2,592.0
1583,程泰,21100.0,1273510.0,60.1,60.6,60.1,60.1,0.3,15.0
1590,亞德客-KY,499313.0,396898661.0,804.0,804.0,790.0,795.0,4.0,866.0
1597,直得,503228.0,45183889.0,90.0,90.6,89.1,89.3,0.3,443.0
1603,華電,177747.0,6714013.0,37.7,37.95,37.4,37.65,0.3,240.0
1604,聲寶,80860.0,2287444.0,28.35,28.4,28.25,28.3,0.0,145.0
1605,華新,21448902.0,547931488.0,25.7,25.95,25.2,25.9,0.4,10970.0
1608,華榮,659911.0,18777348.0,28.4,28.75,28.2,28.3,-0.05,552.0
1609,大亞,2649793.0,121173792.0,45.45,46.15,45.35,45.75,0.65,1825.0
1611,中電,948827.0,16394125.0,17.3,17.45,17.15,17.2,0.1,540.0
1612,宏泰,478334.0,16690359.0,34.75,35.15,34.7,34.8,0.15,474.0
1614,三洋電,20040.0,788144.0,39.25,39.4,39.25,39.4,0.2,17.0
